county,TAZ,tm15,link21,jobs
6001,1560,OTHEMPN,CONS,18
6001,1560,RETEMP,RETL,4
6001,1561,FPSEMPN,FIRE,25
6001,1561,HEREMPN,K12E,182
6001,1561,HEREMPN,PERS,10
6001,1561,HEREMPN,RECS,6
6001,1561,HEREMPN,SOCS,21
6001,1561,MWTEMPN,WTWT,5
6001,1561,OTHEMPN,CONS,13
6001,1561,OTHEMPN,FIRE,2
6001,1561,RETEMP,RETR,3
6001,1562,FPSEMPN,FIRE,32
6001,1562,HEREMPN,HMED,18
6001,1562,HEREMPN,PERS,23
6001,1562,HEREMPN,RECS,20
6001,1562,HEREMPN,SOCS,8
6001,1562,MWTEMPN,MFRG,9
6001,1562,MWTEMPN,WTWT,9
6001,1562,OTHEMPN,CONS,19
6001,1562,OTHEMPN,FIRE,14
6001,1562,RETEMP,RETL,35
6001,1563,FPSEMPN,FIRE,15
6001,1563,HEREMPN,PERS,10
6001,1563,HEREMPN,RECS,38
6001,1563,MWTEMPN,MFRG,1
6001,1563,OTHEMPN,CONS,9
6001,1564,AGREMPN,FFRE,4
6001,1564,FPSEMPN,FIRE,65
6001,1564,FPSEMPN,UTIL,14
6001,1564,HEREMPN,HMED,38
6001,1564,HEREMPN,PERS,135
6001,1564,HEREMPN,RECS,230
6001,1564,HEREMPN,SOCS,24
6001,1564,OTHEMPN,CONS,9
6001,1564,OTHEMPN,FIRE,4
6001,1564,RETEMP,RETL,2
6001,1564,RETEMP,RETR,7
6001,1565,AGREMPN,FFRE,2
6001,1565,FPSEMPN,FIRE,40
6001,1565,HEREMPN,HIED,8
6001,1565,HEREMPN,HMED,11
6001,1565,HEREMPN,K12E,89
6001,1565,HEREMPN,PERS,180
6001,1565,HEREMPN,RECS,32
6001,1565,MWTEMPN,MFRG,6
6001,1565,MWTEMPN,WTWT,22
6001,1565,OTHEMPN,CONS,24
6001,1565,OTHEMPN,FIRE,7
6001,1565,OTHEMPN,GOVT,66
6001,1565,RETEMP,RETL,6
6001,1565,RETEMP,RETR,10
6001,1566,AGREMPN,FFRE,2
6001,1566,FPSEMPN,FIRE,1622
6001,1566,HEREMPN,HIED,27
6001,1566,HEREMPN,HMED,733
6001,1566,HEREMPN,K12E,6
6001,1566,HEREMPN,PERS,143
6001,1566,HEREMPN,RECS,602
6001,1566,HEREMPN,SOCS,22
6001,1566,MWTEMPN,MFRG,327
6001,1566,MWTEMPN,WTWT,888
6001,1566,OTHEMPN,CONS,121
6001,1566,OTHEMPN,FIRE,499
6001,1566,OTHEMPN,GOVT,18
6001,1566,RETEMP,RETL,4480
6001,1566,RETEMP,RETR,897
6001,1567,FPSEMPN,FIRE,105
6001,1567,HEREMPN,HIED,8
6001,1567,HEREMPN,HMED,19
6001,1567,HEREMPN,PERS,193
6001,1567,HEREMPN,RECS,121
6001,1567,HEREMPN,SOCS,20
6001,1567,MWTEMPN,MFRG,53
6001,1567,MWTEMPN,WTWT,43
6001,1567,OTHEMPN,CONS,197
6001,1567,OTHEMPN,FIRE,2
6001,1567,OTHEMPN,GOVT,190
6001,1567,RETEMP,RETL,140
6001,1567,RETEMP,RETR,34
6001,1568,AGREMPN,FFRE,2
6001,1568,FPSEMPN,FIRE,16
6001,1568,HEREMPN,HIED,1
6001,1568,HEREMPN,HMED,11
6001,1568,HEREMPN,K12E,182
6001,1568,HEREMPN,PERS,5
6001,1568,HEREMPN,SOCS,7
6001,1568,OTHEMPN,CONS,3
6001,1568,OTHEMPN,FIRE,1
6001,1568,OTHEMPN,GOVT,5
6001,1569,FPSEMPN,FIRE,129
6001,1569,HEREMPN,HIED,8
6001,1569,HEREMPN,HMED,44
6001,1569,HEREMPN,PERS,148
6001,1569,HEREMPN,RECS,157
6001,1569,MWTEMPN,MFRG,12
6001,1569,MWTEMPN,WTWT,110
6001,1569,OTHEMPN,CONS,94
6001,1569,OTHEMPN,FIRE,26
6001,1569,RETEMP,RETL,98
6001,1569,RETEMP,RETR,34
6001,1570,FPSEMPN,FIRE,5
6001,1570,HEREMPN,HMED,4
6001,1570,HEREMPN,K12E,75
6001,1570,HEREMPN,PERS,22
6001,1570,HEREMPN,RECS,26
6001,1570,HEREMPN,SOCS,16
6001,1570,MWTEMPN,WTWT,4
6001,1570,OTHEMPN,CONS,29
6001,1570,RETEMP,RETL,9
6001,1570,RETEMP,RETR,4
6001,1571,FPSEMPN,FIRE,7
6001,1571,HEREMPN,K12E,153
6001,1571,HEREMPN,PERS,6
6001,1571,HEREMPN,SOCS,10
6001,1571,MWTEMPN,MFRG,2
6001,1571,OTHEMPN,CONS,17
6001,1571,RETEMP,RETL,2
6001,1571,RETEMP,RETR,2
6001,1572,FPSEMPN,FIRE,643
6001,1572,HEREMPN,HIED,7
6001,1572,HEREMPN,HMED,146
6001,1572,HEREMPN,K12E,35
6001,1572,HEREMPN,PERS,229
6001,1572,HEREMPN,RECS,767
6001,1572,HEREMPN,SOCS,53
6001,1572,MWTEMPN,MFRG,111
6001,1572,MWTEMPN,WTWT,47
6001,1572,OTHEMPN,CONS,148
6001,1572,OTHEMPN,FIRE,93
6001,1572,OTHEMPN,GOVT,25
6001,1572,RETEMP,RETL,174
6001,1572,RETEMP,RETR,28
6001,1573,FPSEMPN,FIRE,567
6001,1573,HEREMPN,HIED,25
6001,1573,HEREMPN,HMED,3805
6001,1573,HEREMPN,PERS,150
6001,1573,HEREMPN,RECS,830
6001,1573,HEREMPN,SOCS,133
6001,1573,MWTEMPN,MFRG,37
6001,1573,MWTEMPN,UTIL,18
6001,1573,MWTEMPN,WTWT,29
6001,1573,OTHEMPN,CONS,32
6001,1573,OTHEMPN,FIRE,33
6001,1573,OTHEMPN,GOVT,30
6001,1573,RETEMP,RETL,564
6001,1573,RETEMP,RETR,59
6001,1574,FPSEMPN,FIRE,985
6001,1574,HEREMPN,HIED,28
6001,1574,HEREMPN,HMED,752
6001,1574,HEREMPN,PERS,107
6001,1574,HEREMPN,RECS,1053
6001,1574,HEREMPN,SOCS,4
6001,1574,MWTEMPN,MFRG,14
6001,1574,MWTEMPN,UTIL,7
6001,1574,MWTEMPN,WTWT,25
6001,1574,OTHEMPN,CONS,31
6001,1574,OTHEMPN,FIRE,534
6001,1574,RETEMP,RETL,573
6001,1574,RETEMP,RETR,702
6001,1575,AGREMPN,FFRE,2
6001,1575,FPSEMPN,FIRE,24
6001,1575,HEREMPN,HIED,40
6001,1575,HEREMPN,HMED,21
6001,1575,HEREMPN,K12E,94
6001,1575,HEREMPN,PERS,20
6001,1575,HEREMPN,RECS,7
6001,1575,HEREMPN,SOCS,10
6001,1575,MWTEMPN,MFRG,2
6001,1575,OTHEMPN,FIRE,50
6001,1575,RETEMP,RETL,2
6001,1576,AGREMPN,FFRE,3
6001,1576,FPSEMPN,FIRE,156
6001,1576,HEREMPN,HIED,27
6001,1576,HEREMPN,HMED,9
6001,1576,HEREMPN,PERS,36
6001,1576,HEREMPN,RECS,45
6001,1576,MWTEMPN,MFRG,96
6001,1576,MWTEMPN,WTWT,32
6001,1576,OTHEMPN,CONS,107
6001,1576,OTHEMPN,FIRE,13
6001,1576,RETEMP,RETL,15
6001,1576,RETEMP,RETR,9
6001,1577,AGREMPN,FFRE,2
6001,1577,FPSEMPN,FIRE,18
6001,1577,HEREMPN,RECS,35
6001,1577,MWTEMPN,MFRG,1
6001,1578,AGREMPN,FFRE,1
6001,1578,FPSEMPN,FIRE,795
6001,1578,FPSEMPN,UTIL,29
6001,1578,HEREMPN,HIED,5
6001,1578,HEREMPN,HMED,75
6001,1578,HEREMPN,K12E,60
6001,1578,HEREMPN,PERS,110
6001,1578,HEREMPN,RECS,88
6001,1578,HEREMPN,SOCS,50
6001,1578,MWTEMPN,MFRG,2738
6001,1578,MWTEMPN,WTWT,1459
6001,1578,OTHEMPN,CONS,854
6001,1578,OTHEMPN,FIRE,62
6001,1578,OTHEMPN,GOVT,7
6001,1578,RETEMP,RETL,157
6001,1578,RETEMP,RETR,394
6001,1579,FPSEMPN,FIRE,35
6001,1579,HEREMPN,HMED,3
6001,1579,HEREMPN,PERS,6
6001,1579,HEREMPN,RECS,2
6001,1579,HEREMPN,SOCS,4
6001,1580,AGREMPN,FFRE,2
6001,1580,FPSEMPN,FIRE,73
6001,1580,HEREMPN,HIED,3
6001,1580,HEREMPN,HMED,17
6001,1580,HEREMPN,PERS,13
6001,1580,HEREMPN,RECS,3
6001,1580,MWTEMPN,MFRG,5
6001,1580,OTHEMPN,CONS,6
6001,1580,RETEMP,RETL,7
6001,1580,RETEMP,RETR,4
6001,1581,FPSEMPN,FIRE,15
6001,1581,HEREMPN,HIED,2
6001,1581,HEREMPN,HMED,55
6001,1581,HEREMPN,PERS,11
6001,1581,HEREMPN,RECS,47
6001,1581,MWTEMPN,WTWT,14
6001,1581,OTHEMPN,CONS,6
6001,1581,OTHEMPN,FIRE,15
6001,1581,RETEMP,RETL,7
6001,1581,RETEMP,RETR,1
6001,1582,AGREMPN,FFRE,1
6001,1582,FPSEMPN,FIRE,570
6001,1582,FPSEMPN,UTIL,1
6001,1582,HEREMPN,HIED,37
6001,1582,HEREMPN,HMED,96
6001,1582,HEREMPN,PERS,80
6001,1582,HEREMPN,RECS,544
6001,1582,HEREMPN,SOCS,109
6001,1582,MWTEMPN,MFRG,941
6001,1582,MWTEMPN,WTWT,380
6001,1582,OTHEMPN,CONS,275
6001,1582,OTHEMPN,FIRE,74
6001,1582,OTHEMPN,GOVT,112
6001,1582,RETEMP,RETL,1891
6001,1582,RETEMP,RETR,549
6001,1583,AGREMPN,FFRE,2
6001,1583,FPSEMPN,FIRE,182
6001,1583,HEREMPN,HMED,40
6001,1583,HEREMPN,PERS,14
6001,1583,HEREMPN,RECS,153
6001,1583,HEREMPN,SOCS,7
6001,1583,MWTEMPN,MFRG,3
6001,1583,MWTEMPN,WTWT,52
6001,1583,OTHEMPN,CONS,183
6001,1583,OTHEMPN,FIRE,17
6001,1583,RETEMP,RETL,42
6001,1583,RETEMP,RETR,60
6001,1584,AGREMPN,FFRE,1
6001,1584,FPSEMPN,FIRE,1092
6001,1584,HEREMPN,HIED,34
6001,1584,HEREMPN,HMED,388
6001,1584,HEREMPN,K12E,3
6001,1584,HEREMPN,PERS,290
6001,1584,HEREMPN,RECS,708
6001,1584,HEREMPN,SOCS,69
6001,1584,MWTEMPN,MFRG,222
6001,1584,MWTEMPN,UTIL,7
6001,1584,MWTEMPN,WTWT,121
6001,1584,OTHEMPN,CONS,99
6001,1584,OTHEMPN,FIRE,515
6001,1584,OTHEMPN,GOVT,7
6001,1584,RETEMP,RETL,207
6001,1584,RETEMP,RETR,42
6001,1585,AGREMPN,FFRE,2
6001,1585,FPSEMPN,FIRE,2
6001,1585,HEREMPN,PERS,11
