county,TAZ,tm15,link21,jobs
6075,26,HEREMPN,HMED,4
6075,26,HEREMPN,PERS,31
6075,26,HEREMPN,RECS,108
6075,26,HEREMPN,SOCS,6
6075,26,MWTEMPN,MFRG,2
6075,26,MWTEMPN,WTWT,11
6075,26,OTHEMPN,CONS,187
6075,26,RETEMPN,RETL,54
6075,26,RETEMPN,RETR,23
6075,27,FPSEMPN,FIRE,40
6075,27,HEREMPN,HMED,11
6075,27,HEREMPN,PERS,21
6075,27,HEREMPN,RECS,49
6075,27,HEREMPN,SOCS,7
6075,27,MWTEMPN,MFRG,2
6075,27,MWTEMPN,WTWT,4
6075,27,OTHEMPN,FIRE,106
6075,27,RETEMPN,RETL,10
6075,27,RETEMPN,RETR,2
6075,28,FPSEMPN,FIRE,469
6075,28,FPSEMPN,UTIL,12
6075,28,HEREMPN,HMED,247
6075,28,HEREMPN,PERS,57
6075,28,HEREMPN,RECS,377
6075,28,HEREMPN,SOCS,322
6075,28,MWTEMPN,MFRG,28
6075,28,MWTEMPN,WTWT,28
6075,28,OTHEMPN,FIRE,185
6075,28,OTHEMPN,CONS,730
6075,28,RETEMPN,RETL,183
6075,28,RETEMPN,RETR,110
6075,29,FPSEMPN,FIRE,115
6075,29,HEREMPN,HMED,9
6075,29,HEREMPN,PERS,66
6075,29,HEREMPN,RECS,140
6075,29,HEREMPN,SOCS,76
6075,29,MWTEMPN,MFRG,2
6075,29,MWTEMPN,WTWT,4
6075,29,OTHEMPN,FIRE,71
6075,29,OTHEMPN,CONS,613
6075,29,RETEMPN,RETL,4
6075,30,FPSEMPN,FIRE,445
6075,30,HEREMPN,HMED,111
6075,30,HEREMPN,PERS,86
6075,30,HEREMPN,RECS,188
6075,30,HEREMPN,SOCS,205
6075,30,MWTEMPN,WTWT,17
6075,30,OTHEMPN,CONS,203
6075,30,OTHEMPN,GOVT,745
6075,30,RETEMPN,RETL,16
6075,30,AGREMPN,FFRE,2
6075,31,FPSEMPN,FIRE,1216
6075,31,HEREMPN,HIED,396
6075,31,HEREMPN,HMED,97
6075,31,HEREMPN,K12E,26
6075,31,HEREMPN,PERS,297
6075,31,HEREMPN,RECS,715
6075,31,HEREMPN,SOCS,9
6075,31,MWTEMPN,MFRG,24
6075,31,MWTEMPN,WTWT,22
6075,31,MWTEMPN,UTIL,10
6075,31,OTHEMPN,FIRE,1342
6075,31,OTHEMPN,CONS,31
6075,31,OTHEMPN,GOVT,874
6075,31,RETEMPN,RETL,24
6075,31,RETEMPN,RETR,7
6075,32,FPSEMPN,FIRE,106
6075,32,HEREMPN,HIED,1
6075,32,HEREMPN,PERS,2
6075,32,HEREMPN,RECS,42
6075,32,MWTEMPN,MFRG,1
6075,32,MWTEMPN,WTWT,5
6075,32,OTHEMPN,FIRE,37
6075,32,RETEMPN,RETL,25
6075,33,FPSEMPN,FIRE,191
6075,33,HEREMPN,HIED,56
6075,33,HEREMPN,HMED,14
6075,33,HEREMPN,K12E,29
6075,33,HEREMPN,PERS,13
6075,33,MWTEMPN,MFRG,1
6075,33,MWTEMPN,WTWT,15
6075,33,OTHEMPN,FIRE,61
6075,33,OTHEMPN,GOVT,101
6075,33,RETEMPN,RETL,3
6075,33,RETEMPN,RETR,43
6075,34,FPSEMPN,FIRE,5311
6075,34,HEREMPN,HIED,131
6075,34,HEREMPN,HMED,134
6075,34,HEREMPN,K12E,125
6075,34,HEREMPN,PERS,517
6075,34,HEREMPN,RECS,1315
6075,34,HEREMPN,SOCS,112
